Sample 1: No. iterations = 512, Error = 0.00919637
Sample 2: No. iterations = 512, Error = 0.00692736
Sample 3: No. iterations = 512, Error = 0.0060328
Sample 4: No. iterations = 512, Error = 0.00764491
Sample 5: No. iterations = 512, Error = 0.00576059
Sample 6: No. iterations = 512, Error = 0.00416723
Sample 7: No. iterations = 512, Error = 0.00527041
Sample 8: No. iterations = 512, Error = 0.00445471
Sample 9: No. iterations = 512, Error = 0.00467719
Sample 10: No. iterations = 512, Error = 0.00434904
Sample 11: No. iterations = 512, Error = 0.00427446
Sample 12: No. iterations = 512, Error = 0.00573159
Sample 13: No. iterations = 512, Error = 0.0031509
Sample 14: No. iterations = 512, Error = 0.00434129
Sample 15: No. iterations = 512, Error = 0.00442557
Sample 16: No. iterations = 512, Error = 0.00627096
Sample 17: No. iterations = 512, Error = 0.00524556
Sample 18: No. iterations = 512, Error = 0.0055471
Sample 19: No. iterations = 512, Error = 0.00511053
Sample 20: No. iterations = 512, Error = 0.00566095
Sample 21: No. iterations = 512, Error = 0.00428186
Sample 22: No. iterations = 512, Error = 0.00490876
Sample 23: No. iterations = 512, Error = 0.0056919
Sample 24: No. iterations = 512, Error = 0.00547225
Sample 25: No. iterations = 512, Error = 0.00346364
Sample 26: No. iterations = 512, Error = 0.00434925
Sample 27: No. iterations = 512, Error = 0.00521596
Sample 28: No. iterations = 512, Error = 0.00358729
Sample 29: No. iterations = 512, Error = 0.00431119
Sample 30: No. iterations = 512, Error = 0.00575091
Sample 31: No. iterations = 512, Error = 0.00349685
Sample 32: No. iterations = 512, Error = 0.00469587
Sample 33: No. iterations = 512, Error = 0.00468582
Sample 34: No. iterations = 512, Error = 0.00468916
Sample 35: No. iterations = 512, Error = 0.00439043
Sample 36: No. iterations = 512, Error = 0.00635194
Sample 37: No. iterations = 512, Error = 0.00344556
Sample 38: No. iterations = 512, Error = 0.00365022
Sample 39: No. iterations = 512, Error = 0.00655262
Sample 40: No. iterations = 512, Error = 0.00360618
Sample 41: No. iterations = 512, Error = 0.00590657
Sample 42: No. iterations = 512, Error = 0.00470782
Sample 43: No. iterations = 512, Error = 0.00534239
Sample 44: No. iterations = 512, Error = 0.00546764
Sample 45: No. iterations = 512, Error = 0.00533118
Sample 46: No. iterations = 512, Error = 0.00290804
Sample 47: No. iterations = 512, Error = 0.0053047
Sample 48: No. iterations = 512, Error = 0.00368271
Sample 49: No. iterations = 512, Error = 0.00363475
Sample 50: No. iterations = 512, Error = 0.00362224
Sample 51: No. iterations = 512, Error = 0.00326363
Sample 52: No. iterations = 512, Error = 0.00352205
Sample 53: No. iterations = 512, Error = 0.00425605
Sample 54: No. iterations = 512, Error = 0.00658005
Sample 55: No. iterations = 512, Error = 0.00456593
Sample 56: No. iterations = 512, Error = 0.00455139
Sample 57: No. iterations = 512, Error = 0.00379088
Sample 58: No. iterations = 512, Error = 0.00386053
Sample 59: No. iterations = 512, Error = 0.0038642
Sample 60: No. iterations = 512, Error = 0.00574223
Sample 61: No. iterations = 512, Error = 0.00296043
Sample 62: No. iterations = 512, Error = 0.00329305
Sample 63: No. iterations = 512, Error = 0.00256029
Sample 64: No. iterations = 512, Error = 0.0030795
Sample 65: No. iterations = 512, Error = 0.00305552
Sample 66: No. iterations = 512, Error = 0.00442396
Sample 67: No. iterations = 512, Error = 0.00368914
Sample 68: No. iterations = 512, Error = 0.00327422
Sample 69: No. iterations = 512, Error = 0.00608821
Sample 70: No. iterations = 512, Error = 0.00172934
Sample 71: No. iterations = 512, Error = 0.00265706
Sample 72: No. iterations = 512, Error = 0.00494627
Sample 73: No. iterations = 512, Error = 0.00232756
Sample 74: No. iterations = 512, Error = 0.00359931
Sample 75: No. iterations = 512, Error = 0.00348062
Sample 76: No. iterations = 512, Error = 0.00289826
Sample 77: No. iterations = 512, Error = 0.00635327
Sample 78: No. iterations = 512, Error = 0.00380947
Sample 79: No. iterations = 512, Error = 0.00300566
Sample 80: No. iterations = 512, Error = 0.00320838
Sample 81: No. iterations = 512, Error = 0.502444
Sample 82: No. iterations = 512, Error = 0.0020735
Sample 83: No. iterations = 512, Error = 0.00301136
Sample 84: No. iterations = 512, Error = 0.00341773
Sample 85: No. iterations = 512, Error = 0.00398557
Sample 86: No. iterations = 512, Error = 0.00515983
Sample 87: No. iterations = 512, Error = 0.00308145
Sample 88: No. iterations = 512, Error = 0.00510287
Sample 89: No. iterations = 512, Error = 0.00401342
Sample 90: No. iterations = 512, Error = 0.00440978
Sample 91: No. iterations = 512, Error = 0.00315963
Sample 92: No. iterations = 512, Error = 0.00366597
Sample 93: No. iterations = 512, Error = 0.00478416
Sample 94: No. iterations = 512, Error = 0.00234015
Sample 95: No. iterations = 512, Error = 0.00397644
Sample 96: No. iterations = 512, Error = 0.00393981
Sample 97: No. iterations = 512, Error = 0.00436155
Sample 98: No. iterations = 512, Error = 0.00315483
